26.99,PLN,Zabka Zc010 K.1 KRAKOW
12.80,PLN,Super - Pharm Krako Krakow
46.46,PLN,Zabka Zc010 K.1 KRAKOW
10.19,PLN,Zabka Zc010 K.2 KRAKOW
22.29,PLN,Zabka Zc010 K.2 KRAKOW
189.74,USD,B2b Prime*6o1tp34s3 Amzn.com/bill (fee: 4.45 PLN)
Wise Charges for: CARD-3448926112
17.43,USD,Numberbarn NUMBERBARN.CO (fee: 0.41 PLN)
Wise Charges for: CARD-3448856267
73.54,PLN,Uber   *Eats HELP.UBER.COM
73.46,PLN,Uber   * Eats Pending Amsterdam
73.46,PLN,Uber   * Eats Pending Amsterdam
73.46,PLN,Uber   * Eats Pending Amsterdam
8.90,USD,Jobcopilot SINGAPORE (fee: 0.21 PLN)
Wise Charges for: CARD-3448693886
73.46,PLN,Uber   * Eats Pending Amsterdam
29.99,PLN,Google Play Apps Dublin
23.99,PLN,Spotify P3f477a2bd Stockholm
300.00,PLN,Psychomedic.online Warszawa
3.99,PLN,Zabka Zc010 K.1 KRAKOW
147.19,PLN,Zabka Zc010 K.1 KRAKOW
144.00,EUR,Bh* Betterhelp BETTERHELP.CO (fee: 3.88 PLN)
Wise Charges for: CARD-3445716155
83.85,PLN,Uber   *Eats HELP.UBER.COM
108.49,PLN,Allegro Poznan
Card transaction of -27.89 PLN issued by Allegro Poznan
67.00,PLN,Netflix.com Amsterdam
121.97,PLN,Uber   *Eats HELP.UBER.COM
35.97,PLN,Zabka Zc010 K.1 KRAKOW
33.45,PLN,Zabka Zc010 K.2 KRAKOW
28.98,PLN,Zabka Zc010 K.1 KRAKOW
75.28,PLN,Zabka Zc010 K.2 KRAKOW
56.58,PLN,Uber   *Eats HELP.UBER.COM
3.99,PLN,Zabka Zc010 K.1 KRAKOW
43.46,PLN,Zabka Zc010 K.1 KRAKOW
12.97,EUR,Pp*Apple.com/bill 4029357733 (fee: 0.36 PLN)
Wise Charges for: CARD-3435597918
26.99,PLN,Zabka Zc010 K.1 KRAKOW
14.95,USD,Audible*Ri9ll6rj3 Amzn.com/bill (fee: 0.36 PLN)
Wise Charges for: CARD-3434456738
12.97,EUR,Pp*Apple.com/bill 4029357733 (fee: 0.36 PLN)
Wise Charges for: CARD-3432126019
14.11,EUR,Pp*Apple.com/bill 4029357733 (fee: 0.39 PLN)
Wise Charges for: CARD-3432124853
5.64,EUR,Pp*Apple.com/bill 4029357733 (fee: 0.16 PLN)
Wise Charges for: CARD-3432110995
23.99,PLN,Spotify P3f21bf456 Stockholm
23.60,PLN,Zabka Zc010 K.2 KRAKOW
62.25,USD,Wyoming Secretary Of Stat 307-7775847 (fee: 1.47 PLN)
Wise Charges for: CARD-3431383501
20.00,USD,Corporate Filings Llc 888-4072122 (fee: 0.47 PLN)
Wise Charges for: CARD-3431337016
5.30,PLN,Zabka Zc010 K.2 KRAKOW
116.64,PLN,Super - Pharm Krakow Bo Krakow
118.00,PLN,Kwestia Gustu Krakow
33.98,PLN,Duzy Ben Sp. Z O.o. KRAKOW
4.99,PLN,Zabka Zc010 K.2 KRAKOW
8.99,PLN,Zabka Zc010 K.1 KRAKOW
12.73,EUR,Paypal *Pmntsbveats 35314369001 (fee: 0.35 PLN)
Wise Charges for: CARD-3429929946
51.00,PLN,Bowling House KRAKOW
34.00,PLN,Pizzeria Papu Krakow
39.00,PLN,Lokal 2 KRAKOW
22.35,PLN,Carrefour Express S77 KRAKOW
63.79,PLN,Uber   *Eats HELP.UBER.COM
38.97,PLN,Zabka Zc010 K.2 KRAKOW
30.98,PLN,Zabka Zc010 K.1 KRAKOW
79.48,PLN,Uber   *Eats HELP.UBER.COM
89.09,PLN,Uber   * Eats Pending Amsterdam
89.09,PLN,Uber   * Eats Pending Amsterdam
8.90,USD,Jobcopilot SINGAPORE (fee: 0.21 PLN)
Wise Charges for: CARD-3423907549
0.70,USD,Backblaze Inc BACKBLAZE.COM (fee: 0.01 PLN)
Wise Charges for: CARD-3423607164
12.99,PLN,Uber   *One Membership UBER.COM/BILL
Sent money to Naczelna Izba Lekarska (fee: 3.48 PLN)
Wise Charges for: TRANSFER-1957410314
28.98,PLN,Zabka Zc010 K.2 KRAKOW
24.99,PLN,Zabka Zc010 K.1 KRAKOW
45.78,PLN,Zabka Zc010 K.1 KRAKOW
215.92,PLN,Cleanwhale.pl KRAKOW
133.46,PLN,Uber *Eats Help.uber.com Amsterdam
27.18,USD,Experian* Credit Report 479-3436237 (fee: 0.64 PLN)
Wise Charges for: CARD-3416858391
12.00,PLN,Parking Krakow
5.80,PLN,Wirex Salon Warszawska Krakow
154.00,PLN,Paperconcept Krakow KRAKOW
526.99,PLN,Zabka Zc010 K.1 KRAKOW
30.00,PLN,Rebtel Stockholm
Card dispute
26.99,PLN,Zabka Z9133 K.1 KRAKOW
100.00,PLN,Ul  Agatowa 31 KRAKOW
800.00,PLN,Ul  Agatowa 31 KRAKOW
800.00,PLN,Ul  Agatowa 31 KRAKOW
800.00,PLN,Ul  Agatowa 31 KRAKOW
800.00,PLN,Ul  Agatowa 31 KRAKOW
800.00,PLN,Ul  Agatowa 31 KRAKOW
46.99,PLN,Google One Dublin
7.49,USD,Tello Us 866-3770294 (fee: 0.17 PLN)
Wise Charges for: CARD-3408613737
28.47,PLN,Zabka Zc010 K.1 KRAKOW
157.72,PLN,Uber   *Eats HELP.UBER.COM
8.90,USD,Jobcopilot SINGAPORE (fee: 0.21 PLN)
Wise Charges for: CARD-3407762665
9.99,EUR,Ufc +17024101978
127.99,PLN,Ufc UFC.TV
9.99,EUR,Ufc +17024101978
126.92,PLN,Allegro Poznan
71.04,PLN,Uber   *Eats HELP.UBER.COM
60.65,PLN,Orlen Stacja Nr 4525 KRAKOW
81.00,PLN,Bowling House KRAKOW
18.00,PLN,Bowling House KRAKOW
26.00,PLN,Bowling House KRAKOW
60.00,PLN,Bowling House KRAKOW
400.00,PLN,Ul  Kamienskiego 11 KRAKOW
303.55,PLN,Super - Pharm Krakow Bo Krakow
60.48,PLN,Uber   *Eats HELP.UBER.COM
7.98,PLN,Zabka Zc010 K.2 KRAKOW
15.79,PLN,Zabka Zc010 K.2 KRAKOW
8.80,PLN,Zabka Zc010 K.2 KRAKOW
17.48,PLN,Zabka Zc010 K.1 KRAKOW
71.04,PLN,Uber   *Eats HELP.UBER.COM
128.97,PLN,Uber   *Eats HELP.UBER.COM
26.99,PLN,Zabka Zc010 K.1 KRAKOW
3.99,PLN,Zabka Zc010 K.2 KRAKOW
Converted 4.01 PLN to 1.13 USD (fee: 0.02 PLN)
Wise Charges for: BALANCE-4717600882
Converted 1,776.83 PLN to 500.00 USD (fee: 11.65 PLN)
Wise Charges for: BALANCE-4717598865
65.00,PLN,Medfile.pl Leszno
5.70,PLN,Zabka Zc010 K.1 KRAKOW
39.69,PLN,Zabka Zc010 K.1 KRAKOW
80.86,PLN,Zabka Zc010 K.1 KRAKOW
42.00,EUR,Coursera.org SCHIPHOL (fee: 1.12 PLN)
Wise Charges for: CARD-3395225071
23.32,PLN,Bolt.eu/o/2601281917 Warsaw
7.69,PLN,Zabka Z1840 K.2 KRAKOW
231.95,PLN,Sfinks Restauracja S. Koz KRAKOW
17.90,PLN,Nakielny Bistro Krakow
646.01,PLN,Super - Pharm Krakow Pk Krakow
57.87,PLN,Super - Pharm Krakow Pk Krakow
40.40,PLN,Bolt.eu/o/2601281656 Warsaw
14.57,PLN,Duzy Ben Sp. Z O.o. KRAKOW
50.00,PLN,Aspotclinics.pl MIRKOW
34.99,PLN,Dodatek Do P*Z48y14en5 primevideo.pl
10.00,PLN,Da Diego Pizzeria Krakow
60.00,PLN,Da Diego Pizzeria Krakow
82.00,PLN,Da Diego Pizzeria Krakow
19.97,PLN,Zabka Zc010 K.2 KRAKOW
49.06,PLN,Zabka Zc010 K.1 KRAKOW
30.29,PLN,Zabka Zc010 K.1 KRAKOW
Converted 4,969.94 USD to 17,390.60 PLN
14.98,PLN,Zabka Zc010 K.1 KRAKOW
8.97,PLN,Zabka Zc010 K.1 KRAKOW
17.49,PLN,Zabka Zc010 K.1 KRAKOW
35.00,USD,Kikoffinc* Cljbagtf6h KIKOFF.COM (fee: 0.82 PLN)
Wise Charges for: CARD-3387398514
54.75,PLN,Uber *Eats Help.uber.com Amsterdam
